Unnamed: 0,video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,commentCount,subscriberCount,duration,definition,thumbnail-url,hue,saturation,lightness,face_count,text_presence,lang,recognized_text
0,P9JPIzuitAI,友利新公式チャンネル(内科・皮膚科医),小倉智昭さん 標準治療を受けておけばと後悔のニュースをみて思うこと,"['友利新', 'スキンケア', '美容', 'コスメ', 'お気に入り', '美白', 'ともりあらた', '標準治療', 'ニュース', '小倉智昭']",2024-12-23T10:00:31Z,305672,4664.0,210.0,,PT13M23S,hd,https://i.ytimg.com/vi/P9JPIzuitAI/hqdefault.jpg,354.5793151855469,0.5935581922531128,0.6265489459037781,1.0,0,['ja'],"['ind', 'be']"
1,3cWxp766CjY,Bosch Home ,Der cremigste Mohnkuchen mit Schmand 😍 | SIMPLY YUMMY Rezepte,"['Bosch', 'Haushaltsgeräte', 'Küchengeräte', 'Home Connect', '#LikeABosch', 'kuchen backen', 'einfacher kuchen', 'schneller mohnkuchen', 'einfaches rezept', 'schnelles rezept', 'schnelle rezepte', 'einfache rezepte', 'mohnkuchen backen', 'mohn torte', 'mohn kuchen', 'einfach und lecker', 'mohnkuchen mit pudding', 'mohnkuchen mit schmand', 'schmandkuchen', 'schmandtorte', 'schmand rezepte', 'mohn käsekuchen', 'mohn käsekuchen rezept', 'mohn schmand kuchen', 'mohnmasse selber machen', 'mohnmasse für kuchen', 'mohnmasse mit pudding']",2022-02-15T15:00:12Z,201112,2129.0,33.0,,PT2M18S,hd,https://i.ytimg.com/vi/3cWxp766CjY/hqdefault.jpg,4.284045696258545,0.3437524735927582,0.4971201419830322,0.0,1,['de'],"['simply', 'yummy', 'bosch', 'by', 'mohnkuchen', 'mit', 'schmand']"
2,nPGQLmTyKMs,Mics مايكس,عصابة محترفة تتحدى عزام وفريقه | بودكاست جناية,"['مايكس', 'بودكاست', 'جناية', 'عصابة', 'قصص', 'جرائم', 'مجرم سابق', 'عزام', 'سرقة بنك']",2024-12-23T15:01:00Z,188891,9954.0,1048.0,,PT1H36M42S,hd,https://i.ytimg.com/vi/nPGQLmTyKMs/hqdefault.jpg,241.1749267578125,0.5267919301986694,0.0999194011092186,0.0,0,['ar'],"['ula', 'ijalc', 'jas', 'plic', 'sisule']"
3,bqM9xWqsLC0,Hensslers Schnelle Nummer,"Schnelles, knuspriges Brathähnchen-Rezept von Steffen Henssler","['steffen henssler', 'hensslers schnelle nummer', 'schnelle rezepte', 'brathähnchen']",2021-02-16T08:45:01Z,648835,8619.0,387.0,,PT3M47S,hd,https://i.ytimg.com/vi/bqM9xWqsLC0/hqdefault.jpg,261.0456848144531,0.3461663126945495,0.307926744222641,1.0,1,['de'],"['schnelle', 'nummer', 'lecker', 'brathahnchen']"
4,3SaN8a80xtc,Epicurious,$145 vs $10 Mac & Cheese: Pro Chef & Home Cook Swap Ingredients | Epicurious,"['easy mac and cheese', 'epi', 'epicurious', 'expensive mac and cheese', 'expert mac & cheese', 'fancy mac and cheese', 'gourmet mac & cheese', 'gourmet mac and cheese', 'lobster mac & cheese', 'lobster mac and cheese', 'lobster mac and cheese recipe', 'mac & cheese', 'mac and cheese', 'mac and cheese competition', 'mac and cheese recipe', 'macaroni & cheese', 'macaroni and cheese', 'macaroni and cheese recipe', 'make mac & cheese', 'make mac and cheese', 'pro chef vs home chef', 'pro chef vs home cook']",2021-03-31T16:00:07Z,3034680,50544.0,1982.0,,PT21M18S,hd,https://i.ytimg.com/vi/3SaN8a80xtc/hqdefault.jpg,353.87725830078125,0.2423525601625442,0.5570687055587769,2.0,1,['en'],"['chome', 'pro', 'chef', 'cook', 's10', 's145', 'ronz', 'mac', 'cheese', 'macs', 'cheese']"
5,qpH1hwoeHe8,Can Der Koch,Butter Chicken,,2021-05-18T13:52:58Z,796110,33595.0,301.0,,PT56S,hd,https://i.ytimg.com/vi/qpH1hwoeHe8/hqdefault.jpg,204.3339385986328,0.4315984845161438,0.2845475673675537,0.0,0,['de'],[]
6,1JwenhdL6Ig,Bristi Home Kitchen,"इतनी स्वाद बनी थी, कि मै अपनी ऊंगलीया चाट गई |","['mooli ke patte ki sabji', 'mooli ke patte ki kaise banaye', 'mooli patte ki sabji recipe', 'mooli ki sabji', 'mooli paratha', 'mooli ki sabji recipe', 'bristi home kitchen', 'मूली के पत्ते', 'मूली के पत्ते की सब्ज़ी', 'mooli ke patte ki sabzi recipe', 'lahsun ki chatni', 'lahsun ki chatni recipe', 'lahsun ki chatni recipe in hindi', 'lahsun mirch ki chutney', 'mirchi chutney recipe', 'mirchi chutney', 'chilli chutney recipe', 'chutney', 'chutni', 'chatni', 'चटनी', 'मिरची चटणी', 'तिखी चटणी', 'halwai recipes']",2024-12-23T14:53:22Z,209742,5020.0,481.0,,PT8M1S,hd,https://i.ytimg.com/vi/1JwenhdL6Ig/hqdefault.jpg,342.4352111816406,0.1844683736562729,0.19362773001194,0.0,1,['hi'],"['bristi', 'home', 'kitchen']"
7,j4_l5t2hJYs,The Stay At Home Chef,Basic 3 Ingredient Cranberry Sauce (Plus Variations!),"['cranberry sauce', 'homemade cranberry sauce', 'cranberry sauce recipe', 'how to make cranberry sauce', 'how to make homemade cranberry sauce', 'thanksgiving recipe', 'thanksgiving', 'recipe', 'recipes', 'cranberry recipe', 'cooking', 'food', 'thestayathomechef', 'the stay at home chef', 'rachel farnsworth', 'stayathomechef']",2020-11-18T15:30:02Z,477178,9441.0,268.0,,PT3M54S,hd,https://i.ytimg.com/vi/j4_l5t2hJYs/hqdefault.jpg,244.7637176513672,0.4167144894599914,0.3870148360729217,1.0,1,['en'],"['best', 'cranberry', 'sauce', 'ingredient']"
8,bqX3aSa0buI,घमु Saran,super Healthy Gajjar ka halwa 😋 / Recipe of Gajar ka halwa / Ghamu saran #shorts #recipe,"['ghamu', 'saran', 'divya', 'kappu', 'cooking', 'gajjar', 'ka', 'halwa', 'recipe', 'at', 'home', 'healthy', 'viral']",2024-12-23T09:32:25Z,328164,26707.0,306.0,,PT1M,hd,https://i.ytimg.com/vi/bqX3aSa0buI/hqdefault.jpg,227.56277465820312,0.3197117745876312,0.2847008407115936,1.0,0,"['en', 'id']",[]
9,sZz6OYksWFk,Can Der Koch,Kuymak/Mihlama - Eines der besten Frühstücksgerichte der welt 🙌,,2022-08-07T10:13:33Z,1625178,78081.0,478.0,,PT46S,hd,https://i.ytimg.com/vi/sZz6OYksWFk/hqdefault.jpg,249.4807586669922,0.2383845299482345,0.2933749556541443,0.0,1,['de'],"['meiner', 'reise', 'das', 'durch', 'schwarze', 'meiner', 'schw']"
10,otB7mMHcxKg,Food Network,Top 5 Jeff Mauro Recipe Videos | Food Network,"['food network', 'food', 'cooking', 'recipe', 'how-to', 'how to make', 'tutorial', 'cook', 'chef', 'fn', 'directions', 'ingredients', 'eat', 'recipes', 'easy recipes', 'easy recipe', 'food network recipes', 'best', 'simple', 'quick', 'the kitchen', 'kitchen', 'jeff mauro', 'jeff', 'sandwich king', 'sandwich', 'host', 'top 5', 'top', 'favorite', 'famous', 'top rated', 'best recipes', 'compilation', 'pizza', 'wrap', 'chicken caesar', 'pie', 'chocolate', 'peanut butter', 'no bake pie', 'dessert', 'lunch', 'dinner', 'cheap', 'mac and cheese', 'macaroni and cheese', 'comfort food', 'fajitas', 'steak', 'chicken']",2021-10-30T18:00:14Z,204174,1526.0,63.0,,PT29M45S,hd,https://i.ytimg.com/vi/otB7mMHcxKg/hqdefault.jpg,284.5663757324219,0.4717425405979156,0.442477136850357,1.0,1,['en'],"['mauro', 'top', 'jeff', 'recipe', 'videos']"
11,HYxuF63TUGU,Chef Ranveer Brar,Karahi Gosht | कढ़ाई मटन  | spicy Kadhai meat | Special restaurant style recipe | Chef Ranveer Brar,"['Karahi Mutton', 'Karahi gosht', 'Eid Special Mutton curry', 'Mutton karahi', 'Lahore karahi Mutton', 'Mutton curry recipe', 'Mutton curry Ranveer Brar', 'Mutton curry kaise banate hain', 'मटन करी', 'Mutton Biryani', 'Yakhni Mutton pulao', 'Mutton kulambu', 'Lamb curry', 'Karahi gosht restaurant style', 'Mutton rara', 'Mutton recipes', 'Lahori Mutton karahi', 'Mutton curry pressure cooker', 'Authentic karahi gosht', 'Peshawari karahi Mutton', 'Mutton goat karahi recipe', 'Charsi Mutton karahi', 'Kari kulambu', 'Mutton']",2022-07-10T06:30:03Z,409254,,1158.0,,PT15M31S,hd,https://i.ytimg.com/vi/HYxuF63TUGU/hqdefault.jpg,219.9759979248047,0.4823078215122223,0.3777270913124084,1.0,1,['en'],"['vb', 'dool', 'ranvee', 'kadhai', 'ene', 'gosht']"
12,oxiIR6tciFw,BE NATURAL,New Mom & New Born Babycare Hacks You Must Know #shorts #ytshorts #youtubeshorts,,2024-12-23T04:47:16Z,1083293,59910.0,115.0,,PT1M,hd,https://i.ytimg.com/vi/oxiIR6tciFw/hqdefault.jpg,197.8662567138672,0.3304036557674408,0.3463278114795685,1.0,1,['en'],"['new', 'mom', 'new', 'born', 'baby', 'care', 'hacks']"
13,IN2ncOZJqjo,La Cocina Kochschulen,Soße für Gänsebraten / Braune Soße selber machen. Calle 's einfaches Rezept,"['dunkle soße', 'braune soße selber machen', 'braune soße', 'braune soße selber machen einfach', 'braune grundsoße', 'bratensoße selber machen', 'dunkle soße selbermachen', 'la cocina', 'weihnachtsgans soße', 'gans soße', 'bratensoße rezept', 'bratensoße selber machen schnell', 'soße selber machen für fleisch', 'callekocht braune sauce', 'la cocina kochschule', 'jus selber machen', 'braune sauce', 'dunkle sauce', 'soße kochen', 'soße selber machen', 'bratensoße', 'Callekocht', 'Calle']",2020-10-18T13:49:54Z,292032,5308.0,183.0,,PT7M33S,hd,https://i.ytimg.com/vi/IN2ncOZJqjo/hqdefault.jpg,250.547607421875,0.3439792990684509,0.2852298617362976,0.0,1,['de'],"['braune', 'sosse', 'lecker', 'einfach', 'lacocina', 'die', 'kochschulen']"
